	Easting	Northing	Elevation
1	168659.10604724367	104327.90423195716	268.095
2	168659.1163451466	104328.08483007457	268.106
3	168659.2906447946	104328.00628777687	268.125
4	168659.33022529256	104328.0742772771	268.10400000000004
5	168659.37958979426	104328.09818049893	268.116
6	168659.38701346747	104327.98197241873	268.099
7	168659.41162792826	104327.97946402151	268.12
8	168659.4547792716	104327.94513545558	268.105
9	168659.4544901196	104327.92604012135	268.04900000000004
10	168659.44880287928	104327.92082934827	268.02099999999996
11	168659.4388960459	104327.8987339316	267.985
12	168659.44070654054	104327.89095429983	267.976
13	168659.44669306645	104327.87874025293	267.96
14	168659.44541042173	104327.87169122137	267.934
15	168659.44463336357	104327.856116415	267.922
16	168659.43285610294	104327.82511607371	267.905
17	168659.4383370425	104327.82142780442	267.894
18	168659.4539753003	104327.80257411394	267.882
19	168659.4588704218	104327.79647381045	267.87
20	168659.45686672252	104327.79164680745	267.861
21	168659.45581591682	104327.78626702819	267.853
22	168659.45438493934	104327.78755964246	267.839
23	168659.4533131793	104327.78811200336	267.825
24	168659.450466285	104327.78643351328	267.818
25	168659.44714130665	104327.78549485933	267.81
26	168659.44976552966	104327.7829087833	267.8
27	168659.46749557662	104327.77759534586	267.78700000000003
28	168659.4745076814	104327.7442514142	267.775
29	168659.45089818773	104327.76511614583	267.79200000000003
30	168659.41264916727	104327.79130523652	267.82599999999996
31	168659.37242622537	104327.77058578935	267.812
32	168659.37021946485	104327.68863929901	267.802
33	168659.3761539498	104327.72480968665	267.779
34	168659.37979296342	104327.73779925704	267.778
35	168659.37545774432	104327.65269375872	267.782
36	168659.3709991089	104327.63617904019	267.776
37	168659.37934234814	104327.66345961485	267.782
38	168659.38515827715	104327.66589012276	267.789
39	168659.3686797539	104327.65341134276	267.783
40	168659.37158623667	104327.63822031207	267.786
41	168659.38874880096	104327.62530422118	267.79
42	168659.39324048773	104327.59881050698	267.78
43	168659.38936177728	104327.58637623582	267.769
44	168659.38119602707	104327.57615139987	267.78700000000003
45	168659.3893840411	104327.58007333614	267.786
46	168659.41136969696	104327.58144866861	267.772
47	168659.43021406783	104327.56353321113	267.755
48	168659.4429556656	104327.55708985776	267.767
49	168659.4059745383	104327.56085224543	267.793
50	168659.34096915426	104327.55654422939	267.848
51	168659.24718768228	104327.5551006766	267.95099999999996
52	168659.23100813324	104327.55893654097	267.992
53	168659.21122723978	104327.5727702938	268.05
54	168659.68402310085	104327.52234811243	268.125
55	168660.22955458518	104327.4751490159	268.149
56	168660.84150016148	104327.36997474544	268.198
57	168661.48738352468	104327.24767994136	268.241
58	168662.1832028249	104327.15577884484	268.258
59	168663.49778513485	104326.8795699859	268.289
60	168664.13343895096	104326.69198501576	268.26599999999996
61	168664.79089796447	104326.65778780449	268.27299999999997
62	168666.07046040898	104326.53680568747	268.231
63	168666.7279751366	104326.48685147241	268.20599999999996
64	168667.38389751723	104326.38294564653	268.225
65	168668.07872090302	104326.30383314099	268.236
66	168668.75588799478	104326.17553217988	268.219
67	168670.11820052163	104326.04946741834	268.291
68	168671.4134632869	104325.99305489939	268.199
69	168672.76662034853	104325.83414590359	268.131
70	168673.44268924175	104325.74755254015	268.135
71	168674.11941827257	104325.67597750854	268.116
72	168675.4637168959	104325.50109505747	268.067
73	168676.14680267766	104325.37986047287	268.052
74	168676.85416257163	104325.31877545826	268.047
75	168677.52057479293	104325.17301171832	268.013
76	168678.2166951036	104325.13061069604	268.041
77	168678.9344696125	104325.0152459573	268.045
78	168679.63738848988	104324.99993488379	268.02299999999997
79	168680.32458624063	104324.89243361913	267.985
80	168681.01263223146	104324.84759445023	267.926
81	168681.70885095437	104324.77738698572	267.872
82	168682.4073381873	104324.73796099145	267.85900000000004
83	168683.0810818537	104324.63671547826	267.791
84	168683.75902454898	104324.52454738505	267.774
85	168684.43997274054	104324.47004371043	267.772
86	168685.13575102945	104324.42356399074	267.782
87	168685.81727080603	104324.40910495259	267.806
88	168686.45741084806	104324.29773039464	267.774
89	168687.121539282	104324.26003729925	267.8
90	168687.78441561214	104324.13947424572	267.789
91	168688.4848509054	104324.1206333097	267.772
92	168689.19965674702	104324.00451792963	267.728
93	168689.89719189933	104323.96546031814	267.672
94	168690.6209510975	104323.9057328375	267.634
95	168691.34853713177	104323.87308471836	267.612
96	168692.0755091653	104323.84599597659	267.569
97	168692.80423914036	104323.79240398016	267.589
98	168693.52826827345	104323.72359414678	267.608
99	168694.23901445998	104323.61265576724	267.593
100	168694.98340071985	104323.56875932124	267.611
101	168695.7130965553	104323.44379919674	267.585
102	168696.4486000322	104323.3907878166	267.582
103	168697.8804224046	104323.239393536	267.566
104	168698.56227309277	104323.13150494918	267.555
105	168699.26157633448	104323.09671860561	267.563
106	168700.63073206617	104322.95196236204	267.558
107	168701.3042755723	104322.94099933375	267.525
108	168702.00289789442	104322.93068132363	267.52
109	168702.69574427116	104322.87307062652	267.55
110	168703.38078939982	104322.76945774723	267.582
111	168704.75250930508	104322.70627958234	267.70799999999997
112	168705.47311011062	104322.69937672466	267.704
113	168706.23361964538	104322.60048059281	267.698
114	168707.65611978204	104322.49706979655	267.627
115	168709.0885915818	104322.36384824943	267.639
116	168709.76918700757	104322.30841967184	267.619
117	168711.16913682962	104322.16173601989	267.671
118	168711.88686455018	104322.09346252307	267.698
119	168712.58924999446	104321.99399065226	267.704
120	168713.3149687283	104321.985253172	267.733
121	168714.6972720044	104321.92100278381	267.8
122	168715.39720862164	104321.80817512888	267.759
123	168716.11846302694	104321.75103760138	267.749
124	168716.85925423395	104321.64836549945	267.753
125	168717.56866143522	104321.61361737084	267.73400000000004
126	168718.27483760772	104321.55142140388	267.688
127	168718.99271784112	104321.50724902935	267.672
128	168719.72006078635	104321.44271829538	267.66900000000004
129	168720.42345976652	104321.35919388104	267.678
130	168721.1198738605	104321.30122747459	267.705
131	168721.83403589285	104321.19938860461	267.717
132	168722.55846890787	104321.18453023769	267.765
133	168723.28581923057	104321.08440674096	267.77099999999996
134	168724.02768888194	104321.04643766955	267.791
135	168724.7450932513	104320.93534160033	267.795
136	168725.48207758745	104320.90069228504	267.813
137	168726.20870232204	104320.80408886727	267.788
138	168726.9400946292	104320.80445706844	267.791
139	168727.66749560597	104320.72361404728	267.76
140	168728.3901720924	104320.66778090224	267.73400000000004
141	168729.10112890622	104320.56481935643	267.72700000000003
142	168729.82171513274	104320.49507537019	267.722
143	168730.52270147536	104320.45510843303	267.779
144	168731.22234622898	104320.39122259896	267.843
145	168731.90004794454	104320.34746564459	267.862
146	168732.60451114835	104320.2656150572	267.89599999999996
147	168733.30741440156	104320.25494559202	267.884
148	168734.04012969485	104320.18394751847	267.89799999999997
149	168734.76921103417	104320.19913914055	267.943
150	168736.1995963704	104320.08482645452	267.938
151	168736.91502511548	104319.96111906879	267.897
152	168737.64940118912	104319.92460837774	267.851
153	168738.3603936406	104319.84519167617	267.83799999999997
154	168739.07932435127	104319.80658719689	267.851
155	168740.43594716483	104319.6769980751	267.848
156	168741.14512083592	104319.67469407152	267.885
157	168741.83475606045	104319.6178186303	267.895
158	168743.31558924488	104319.45659990143	267.95599999999996
159	168744.04961015226	104319.41971807275	267.983
160	168744.7743015402	104319.29863996152	267.982
161	168745.50143481052	104319.2598800771	267.994
162	168746.22483714414	104319.13360690419	267.94599999999997
163	168747.70879578142	104318.99612934794	267.89099999999996
164	168749.17561843642	104318.89752154052	267.902
165	168750.59907358492	104318.76001543272	267.875
166	168751.308852724	104318.68764066696	267.872
167	168752.02227857255	104318.62603107281	267.91200000000003
168	168752.69617129536	104318.55037761293	267.939
169	168753.39111867716	104318.53745798953	267.975
170	168754.07294981086	104318.46906277072	268.004
171	168754.7296460704	104318.51625657082	268.123
172	168755.42159850616	104318.3759693699	268.16700000000003
173	168756.06620450053	104318.34655777365	268.176
174	168756.78103238143	104318.22489013616	268.158
175	168757.4972463662	104318.21501267236	268.191
176	168758.17296905076	104318.1931270929	268.197
177	168758.88805757594	104318.16544917878	268.246
178	168759.61530010347	104318.12947234325	268.25
179	168760.35397883056	104318.08649171982	268.281
180	168761.04678933413	104318.07282398734	268.345
181	168761.72989326506	104318.01425950415	268.381
182	168762.44967723137	104318.00328309648	268.39799999999997
183	168763.19695187878	104317.8828438595	268.35900000000004
184	168763.94217985685	104317.87010421418	268.33
185	168764.6951776144	104317.8451570794	268.33
186	168765.40378192236	104317.93628666643	268.367
187	168766.13492472845	104317.90662756003	268.355
188	168766.8452912753	104317.90321894735	268.41
189	168767.52797022357	104317.79701060802	268.392
190	168768.20692943456	104317.7006143704	268.35200000000003
191	168768.8903904442	104317.60849799309	268.361
192	168769.56970463326	104317.54602804407	268.394
193	168770.23959510136	104317.52634785883	268.483
194	168770.90043239458	104317.41172017064	268.522
195	168771.54544884906	104317.40066470299	268.63
196	168772.24091122154	104317.27633499727	268.658
197	168772.92565344594	104317.25856174622	268.718
198	168773.62212769198	104317.15054940432	268.756
199	168774.3457016951	104317.14348109625	268.769
200	168775.8539184375	104317.10416454636	268.849
201	168776.57938694104	104316.99885098916	268.85400000000004
202	168777.28108838107	104316.92515331414	268.851
203	168778.65099364848	104316.80470489338	268.878
204	168779.31884745904	104316.75609907787	268.91
205	168779.94666193647	104316.63523752708	268.969
206	168780.6083492271	104316.5825315537	269.025
207	168781.27034191805	104316.47736373357	269.06
208	168782.58956680133	104316.36897133663	269.151
209	168783.84250821662	104316.31484579109	269.215
210	168785.18721914515	104316.25974920951	269.24
211	168785.89571967087	104316.24632590171	269.349
212	168786.52160909807	104316.29916092195	269.447
213	168787.21834758707	104316.25065882225	269.485
214	168787.87997538364	104316.28156068362	269.573
215	168788.51872535294	104316.19429312553	269.62
216	168789.15085695323	104316.19654145744	269.68
217	168789.8253224454	104316.12719773408	269.752
218	168790.48573502948	104316.13214216288	269.757
219	168791.1492382909	104316.03680617921	269.851
220	168791.805736042	104316.00614356343	269.835
221	168792.44096694092	104315.90570186172	269.895
222	168793.05461806577	104315.8902736567	269.887
223	168793.67836725773	104315.80962709896	269.888
224	168794.36169016408	104315.68970626313	269.872
225	168795.02112769004	104315.60121541936	269.884
226	168795.6908016026	104315.5088680638	269.897
227	168796.35218168257	104315.50918212719	269.907
228	168796.9928233296	104315.45825712942	269.92900000000003
229	168797.6438257558	104315.46873041801	269.962
230	168798.2731570491	104315.3560332302	269.96
231	168798.8931993373	104315.34841447603	269.899
232	168799.52405121608	104315.3428734634	269.894
233	168800.1658315515	104315.33941061236	269.89099999999996
234	168800.77145329103	104315.3089388134	269.95099999999996
235	168801.43515763007	104315.22398620378	269.991
236	168802.05507305468	104315.185223246	270.087
237	168802.71592199648	104315.10100216139	270.129
238	168803.38777623384	104315.09746136796	270.131
239	168804.7417837751	104315.06891242042	270.246
240	168806.0984908675	104315.01664457377	270.356
241	168806.76587300203	104314.96711362898	270.38
242	168807.4687316026	104314.96924518142	270.39799999999997
243	168808.80406973595	104314.84256389551	270.4
244	168809.43703026252	104314.84574450739	270.474
245	168810.10719857644	104314.81494745333	270.54200000000003
246	168811.43763032407	104314.7308871476	270.629
247	168812.74555133044	104314.52587814722	270.672
248	168814.01659425304	104314.49592382368	270.70099999999996
249	168814.6417532107	104314.48684208374	270.649
250	168815.29461597785	104314.4756345069	270.653
251	168815.956591174	104314.4423990529	270.682
252	168816.66533306136	104314.39468510542	270.707
253	168817.35816071942	104314.30965285003	270.743
254	168817.99560521485	104314.25538213644	270.781
255	168818.64937537652	104314.15630729031	270.82099999999997
256	168819.33859218843	104314.11723708734	270.85400000000004
257	168820.03267727725	104314.01292996202	270.89
258	168820.72845820978	104313.93309935555	270.884
259	168821.41968000907	104313.79837961588	270.876
260	168822.10117783412	104313.75724307168	270.857
261	168822.76626816363	104313.68379173707	270.845
262	168823.45561516518	104313.64157104678	270.865
263	168824.17104942474	104313.58387134131	270.916
264	168824.85845693297	104313.55221067555	270.95099999999996
265	168825.55250379565	104313.52539368533	270.947
266	168826.2204773895	104313.4434255017	270.971
267	168826.9558845231	104313.4182391474	271.03
268	168827.63178130338	104313.3144243434	271.045
269	168828.30824918818	104313.28383742645	271.096
270	168828.98657355973	104313.16594243795	271.094
271	168829.69276609566	104313.09986836184	271.147
272	168830.37767319113	104312.93602235708	271.159
273	168831.08384859448	104312.87476833165	271.134
274	168831.81137587936	104312.75927368086	271.156
275	168832.51842105872	104312.68745618779	271.154
276	168833.24288090825	104312.5988311423	271.16700000000003
277	168833.91688322523	104312.52633988857	271.17900000000003
278	168834.61416026196	104312.46042006463	271.224
279	168835.95940274946	104312.29003085382	271.295
280	168836.59532711332	104312.16216043103	271.312
281	168837.28267539197	104312.14718551561	271.342
282	168838.66724289957	104312.01586737577	271.303
283	168840.0308179068	104311.90468133613	271.342
284	168841.33195330284	104311.736360766	271.322
285	168841.9622174433	104311.69578556903	271.38
286	168842.5956904832	104311.62203857116	271.38
287	168843.2594597971	104311.58584681991	271.394
288	168843.93057007485	104311.49110072013	271.42400000000004
289	168845.25717833324	104311.41296748072	271.464
290	168845.93488598382	104311.40148155298	271.447
291	168846.60772161264	104311.35623885877	271.48900000000003
292	168847.2451236011	104311.34739002492	271.476
293	168847.89968309397	104311.26055679377	271.51
294	168848.51949833418	104311.21679360699	271.538
295	168849.1384980557	104311.16839304473	271.569
296	168849.82750574464	104311.08817132656	271.54900000000004
297	168850.5329487886	104310.99911002442	271.561
298	168851.1828745695	104310.91170451697	271.587
299	168851.84831213596	104310.87440750375	271.619
300	168852.4827323787	104310.80177735817	271.658
301	168853.1261800997	104310.79758535232	271.64599999999996
302	168853.76193546475	104310.75054279715	271.684
303	168854.41730557595	104310.7363828849	271.697
304	168855.09761076947	104310.69654399995	271.72
305	168855.75289090181	104310.70759584103	271.731
306	168856.40817103416	104310.71864768211	
307	168856.81874755817	104310.72557239457	
